Player,Tier,Team,GP,W,L,bc_name,bc_games,shooting_pct,score,boost_per_min,avg_boost,boost_stolen,pct_zero_boost,avg_speed,pct_supersonic,pct_high_air,dist_to_ball,pct_offensive_third,demos_inflicted,demos_taken,win_pct
EliTW22Playz,Master,Andromeda,32,23,9,EliTW22Playz,32,36.564268750000004,466.59375,406.20618375000004,51.6428345,642.125,8.567760825,1620.4274,18.391183999999996,6.4152325,2718.175225,22.819834625000002,1.4375,1.5,0.71875
Reyes.,Elite,Forge Defenders,32,28,4,Reyes.,32,39.29650475,463.125,398.1088475,54.23674987500001,601.65625,7.558146725,1497.0362125000001,14.61856375,4.7692419125,2983.5073625000005,23.668373250000002,0.84375,1.4375,0.875
insxner,Premier,Jokers,32,17,15,insxner,32,35.903159375,455.65625,447.37798250000003,48.874052125,657.4375,12.224577187499998,1685.4477749999996,24.04243175,7.636703462500001,2762.9807875,21.050544499999997,1.75,0.9375,0.53125
TTVst1x4r,Contender,Kodiak Bears,28,21,7,TTVst1x4r,28,38.641002,515.0714285714286,453.5948485714285,53.22979700000001,532.1071428571429,12.367501500000001,1586.545842857143,15.348074142857145,5.2302551,2710.4821,22.76156842857143,1.0357142857142858,1.0714285714285714,0.75
Dyloh(?),Master,Andromeda,32,23,9,Dyloh(?),32,40.86821725,449.40625,420.15554125,54.052470875,646.6875,12.144466625,1518.743125,12.719573,7.7635775875,2746.1807000000003,24.213798000000004,1.125,1.03125,0.71875
Dray,Challenger,Chromatic Chaos,32,16,16,dray,32,36.478269499999996,435.3125,440.62619,48.42966825,668.75,11.581860374999998,1571.8984125,18.040592125,5.544166487500001,2970.0915625000002,23.051516875,1.65625,1.03125,0.5
JustWaben,Veteran,Cannoli,32,23,9,JustWaben,32,34.7916663125,430.375,381.20383749999996,52.1594315,596.21875,7.010189587499999,1548.5710000000001,15.260631374999999,4.6510393875,3048.8689750000003,21.056449,0.90625,0.71875,0.71875
ToastyPancakes_,Prospect,Blacksmiths,32,19,13,ToastyPancakes_,32,39.3025815,430.15625,461.1021275,51.815009875,657.0625,13.35237125,1525.8234125,14.8264835,5.5529001749999995,2646.58155,21.61899275,1.3125,0.96875,0.59375
Chillin,Veteran,Pump and Dump,32,16,16,Chillin,32,34.216043875,427.09375,424.05984249999995,47.033222124999995,438.59375,13.000964,1541.72605,13.838017125,3.6379527125,2737.7596000000003,18.3449161875,0.875,1.40625,0.5
tacoVy,Contender,Kappa,32,14,18,tacoVy,28,41.42857057142857,428.92857142857144,373.5783728571428,50.98756042857143,449.5357142857143,7.9359702571428565,1486.3802428571428,11.893249,3.265351085714286,2914.7198,18.97738371428571,0.5714285714285714,0.9285714285714286,0.4375
drkmist,Rival,Wind,31,13,18,drkmist,31,35.46996141935484,437.3225806451613,456.6309,49.19427248387096,578.7096767741936,13.696369741935484,1636.408793548387,19.05793635483871,4.722593912903226,2841.488241935484,22.14152580645161,1.5483871032258065,1.2903225870967743,0.41935483870967744
PixelSkills,Elite,Gelato,32,25,7,PixelSkills,32,38.530497125,422.84375,425.1972999999999,49.062030875000005,585.25,11.810419999999999,1540.43315,14.523295375,6.0383193749999995,2746.159675,20.410004125,1.53125,0.96875,0.78125
Creature,Veteran,Tummy Tables,30,19,11,Creature,30,32.14616733333334,446.50000066666666,384.6512836666667,50.99171593333334,597.9666693333332,10.0352012,1552.715036666667,15.195462016666665,3.849266393333333,2981.8751700000003,21.518675466666664,1.2666666666666666,0.9,0.6333333333333333
surreal,Premier,Capybaras,26,12,14,surreal,26,31.235112153846153,514.4230730769231,497.76273038461545,48.31234042307692,631.730773076923,15.007215923076924,1563.2313923076922,17.887222538461536,7.920887623076923,2611.571869230769,20.912146346153847,0.8076923084615385,1.384615376923077,0.46153846153846156
Velocheerio,Elite,Wheelchairs,30,17,13,Velocheerio,31,30.7176024516129,431.4516125806452,463.37191677419355,55.29155587096774,644.1612903225806,12.307157677419355,1623.238241935484,24.99514558064516,5.714396541935484,2745.2340741935486,23.426217677419356,1.0967741941935485,0.9032258096774194,0.5666666666666667
Zippy,Master,Helicoprions,32,21,11,Zippy,32,23.578441999999995,417.625,397.92981625,50.314496125,655.625,11.867048187500002,1576.6858249999998,15.936545624999999,6.933643087499999,3042.5288875,23.9226165,2.25,1.15625,0.65625
ChristSavedRev,Challenger,Metal,32,19,13,ChristSavedRev,12,38.61111066666667,381.3333333333333,352.38635,48.78737,410.0833333333333,10.806436666666665,1498.3266666666666,10.787169,6.239914466666666,2839.2141333333334,20.107362333333334,0.5833333333333334,0.6666666666666666,0.59375
FusionBleach,Premier,Long Beards,32,22,10,FusionBleach,32,27.92589325,413.875,409.96364125,52.19103475,616.21875,9.3109534375,1587.4458875,19.432254124999996,5.7709305,2843.6212250000003,22.075549,1.125,1.4375,0.6875
Parallax,Prospect,Red Legion,32,18,14,Parallax,32,37.7796505,413.8125,358.29762750000003,47.828398375000006,637.3125,12.285941124999999,1492.884825,11.70783475,4.604038525,2763.1618500000004,22.702104750000004,1.09375,1.09375,0.5625
A7md,Elite,Goliaths,31,19,12,a7md,19,35.338346105263156,395.3684221052631,363.5057294736842,52.97412836842105,466.1578947368421,8.630143921052632,1438.8170157894738,10.431085000000001,4.755613194736843,2680.5861210526314,20.24868094736842,0.5263157894736842,1.1052631684210525,0.6129032258064516
Zxphyrs,Rival,Guards,31,15,16,Zxphyrs,31,43.31752025806451,425.935484516129,449.796659032258,45.36464012903226,546.8064483870968,19.171200322580642,1583.8457516129033,16.928890838709677,4.161923012903226,2875.349987096775,24.20067229032258,1.2903225812903227,1.0322580651612905,0.4838709677419355
Tvveedle,Prospect,Back Flips,31,21,10,Tvveedle,31,42.05955312903226,425.22580967741936,465.03896774193544,50.93262832258065,655.483870967742,13.186886548387095,1605.9917516129033,18.609506032258064,4.261623535483871,3041.8472064516127,23.247801096774197,1.2903225741935482,0.7419354870967743,0.6774193548387096
DerpyAF,Premier,Valkyries,28,18,10,DerpyAF,16,30.443218750000003,481.125,443.2236775,52.63665725,595.8125,9.223705,1494.1521249999998,16.43477325,5.740983275,2548.868625,20.31413225,1.4375,0.625,0.6428571428571429
Ryguy2flie,Contender,Ponzi Schemers,32,18,14,RyGuy2flie,32,38.423469,408.0625,334.12878000000006,47.48486862499999,396.875,9.84476425,1417.9841250000002,8.7268729375,3.52267135,3105.9942125,18.864813124999998,0.375,0.875,0.5625
Rezcoh,Challenger,Spearmint,32,18,14,Rezcoh,20,44.428571399999996,426.85,377.37164599999994,52.74030700000001,399.2,8.60312026,1532.7045599999997,17.214078,4.5535543,3114.88714,17.2380112,1.6,1.35,0.5625
boywunder,Elite,Hellhounds,32,12,20,boywunder,32,25.26921,407.125,398.457995,53.39020475,513.34375,9.908170624999999,1561.8896625,14.87007725,5.298487274999999,2875.2304249999997,20.889719375,0.5625,1.125,0.375
mogulmaniac5480,Rival,Centuriones,32,17,15,mogulmaniac5480,32,43.717948375,403.5625,343.58688,49.56296025,368.75,10.018135825,1417.3832999999997,10.21798775,3.16463025,3271.0579125,16.5863188125,0.625,0.78125,0.53125
Pizza Flavored,Prospect,Honey Badgers,30,18,12,Pizza Flavored,30,34.942822533333334,430.3999986666667,361.712704,50.7211886,429.5,9.642273063333334,1472.8693799999999,8.708502059999999,3.62492286,2994.326206666666,19.347154166666666,0.56666667,0.9999999973333333,0.6
majical,Elite,Basilisks,32,20,12,majical,32,24.291643812500002,402.9375,401.59380125,53.22335562500001,471.25,10.2838433125,1491.8524375,13.07352425,7.5389507625,2910.2641875,19.486729125,1.0,1.4375,0.625
Whitlock7,Premier,Super Clusters,28,15,13,Whitlock7,28,25.924705,459.10714285714283,412.7297714285714,55.88008814285714,732.7142857142857,7.073119814285714,1558.6893714285713,17.66195857142857,6.852970399999999,2793.974914285714,24.965196285714285,1.7142857142857142,1.1785714285714286,0.5357142857142857
