Player,season,games,tier,goals,assists,saves,shots,score,shooting_pct,boost_per_min,avg_boost,boost_stolen,avg_speed,pct_supersonic,dist_to_ball,pct_offensive_third,demos_inflicted
CF SHHM3LLYY,S18,36,9Amateur,0.639,0.389,0.889,1.889,289.306,28.298,341.896,48.173,428.917,1420.642,9.098,2760.767,16.896,0.778
EthrealDoom,S18,29,9Amateur,0.621,0.414,0.621,1.655,255.586,43.054,169.02,57.443,183.207,1364.062,7.329,2886.274,15.065,0.276
Rich-Rollin6060,S18,25,9Amateur,0.76,0.2,0.44,1.88,249.52,35.571,304.095,35.792,270.68,1356.32,7.063,2665.394,17.8,0.68
Slashfabo420,S18,39,9Amateur,1.026,0.744,0.949,2.744,354.769,37.672,357.687,50.761,510.103,1440.526,8.934,2905.123,22.97,0.513
SuperThr33s,S18,44,9Amateur,1.318,0.5,0.977,3.136,367.614,42.402,227.648,51.003,374.568,1310.647,4.785,3222.393,22.58,1.273
TechnikMusic,S18,35,9Amateur,1.171,0.771,1.029,3.0,386.943,38.061,319.256,40.434,469.686,1359.806,6.044,2968.119,21.766,0.971
YERP_YERP02,S18,14,9Amateur,0.786,1.0,0.857,2.429,331.571,28.452,285.981,46.837,378.857,1380.61,7.054,2995.362,25.174,0.643
ous,S18,43,9Amateur,0.721,0.349,1.047,1.86,280.395,35.26,337.521,52.0,418.372,1451.567,8.833,2676.873,18.07,0.791
CascaReborn,S18,30,9Amateur,0.333,0.233,0.533,0.9,157.3,31.5,247.31,47.8,403.167,1333.774,4.76,3549.241,19.485,0.7
Froz3nSlack5r,S18,32,9Amateur,1.062,0.531,1.031,3.531,380.312,32.057,381.986,53.916,600.594,1524.532,13.787,3266.862,20.946,1.0
GET2DACHOPPA5,S18,39,9Amateur,1.179,0.385,1.103,2.667,380.282,44.67,319.034,52.071,484.538,1414.813,9.069,2995.535,21.952,1.026
ONLYSLIM2198,S18,24,9Amateur,0.667,0.292,0.458,2.125,227.292,38.922,417.66,41.266,401.083,1461.902,10.546,3158.589,19.696,1.042
Shootzy,S18,34,9Amateur,0.676,0.324,0.971,1.676,265.235,40.686,262.428,49.197,387.882,1373.699,6.822,3312.096,19.439,0.882
