Player,sid,season,games,tier,goals,assists,saves,shots,score,shooting_pct,boost_per_min,avg_boost,boost_stolen,avg_speed,pct_supersonic,dist_to_ball,pct_offensive_third,demos_inflicted
Kenjicat17,66e3fc60e0c64830a7a40c349aec4c7e,S24,40,Prospect,0.775,0.475,1.3,2.2,326.475,36.668,281.501,48.912,307.6,1446.038,8.866,3246.787,18.249,0.675
Precision,76561198970983905,S24,40,Prospect,0.6,0.775,1.125,1.95,312.75,27.142,388.574,53.953,593.625,1437.711,12.498,3067.829,19.608,1.375
S E L.,d9850c7f6e6e489399c10e00643bb527,S24,37,Prospect,0.514,0.351,1.189,1.784,291.378,24.034,292.469,48.128,417.405,1383.917,6.569,3161.143,19.765,0.946
T_i_m_o_g,0b9c088e11144340bea124ecc5e1d7eb,S24,41,Prospect,0.512,0.293,1.244,1.732,276.805,25.285,399.576,47.304,635.463,1574.812,17.187,3353.849,20.833,2.488
TrytonsShadow95,7b69023094ab4420858339a35f0980f7,S24,36,Prospect,0.667,0.417,1.333,2.611,337.111,22.604,431.21,50.592,553.5,1548.255,14.284,3024.85,21.714,1.667
j_durv,j_durv,S24,49,Prospect,0.796,0.51,1.122,2.347,341.531,32.701,316.245,48.697,366.49,1458.225,12.831,3042.586,18.777,1.571
lone wolf,76561198809845107,S24,39,Prospect,0.974,0.359,1.128,2.795,367.718,33.594,266.923,55.15,426.051,1400.076,6.238,2908.793,23.358,0.641
superstrikzz,982b43a870b34eb2851f177ada5df392,S24,49,Prospect,0.755,0.367,1.551,3.0,385.714,24.399,387.826,43.916,515.286,1436.154,11.756,2791.316,20.765,1.347
Colossus4203316,Colossus4203316,S24,40,Prospect,0.5,0.325,1.05,1.275,241.85,40.167,345.912,44.709,493.9,1483.19,11.819,3189.271,19.234,1.025
CrucialUrchin,03d822c181f44fe297b6dec825e36425,S24,9,Prospect,1.0,0.556,1.222,2.444,377.889,40.635,425.09,43.713,397.111,1370.658,9.304,3006.143,15.382,0.667
Gmoney,76561197983839601,S24,54,Prospect,0.759,0.574,1.019,2.648,337.667,28.128,338.534,50.47,525.204,1413.998,7.066,2974.934,20.243,1.019
SE AT WORK,a46cd7f2649e49d39ae216573cd3f743,S24,47,Prospect,0.83,0.681,1.191,2.426,348.787,31.276,388.104,47.568,468.34,1456.517,11.127,3210.887,20.539,0.638
TheBLKBoy,86d8b51458454cf0b727fd564ea96610,S24,33,Prospect,0.636,0.273,0.939,1.909,270.606,32.437,345.929,45.568,310.273,1491.195,9.986,3367.905,17.224,1.152
Tyson_WA,61aa3776b62b44b3926b08a981326fb9,S24,22,Prospect,0.864,0.5,1.045,2.455,329.227,31.753,283.216,44.219,386.091,1396.005,6.015,2988.197,17.079,0.591
Zirr_Grzzlr_onTT,1564799836a44a0f93025f13957ead17,S24,55,Prospect,1.109,0.382,1.073,2.836,345.0,38.349,371.658,54.925,473.945,1494.017,10.316,3083.23,21.192,1.236
Blitzzzzz.,a4f7f3753ba748ba81634008e9afffc7,S24,56,Prospect,1.036,0.571,1.036,2.607,362.839,39.027,419.143,50.903,589.357,1514.448,11.46,2917.958,21.173,1.75
HuggingThor,HuggingThor,S24,5,Prospect,0.2,0.8,0.8,0.8,233.4,0.0,416.785,49.559,827.4,1495.676,13.3,2801.233,22.301,1.0
I _amDan,de35220ac0db404f95e9c6ba1e572c78,S24,20,Prospect,0.65,0.7,0.7,2.65,309.3,25.23,328.062,47.536,451.9,1423.675,8.194,3059.582,21.912,0.85
M0USE_1,b1718a70353946f082058d264e2829f2,S24,56,Prospect,0.857,0.714,1.214,2.589,354.804,32.043,357.006,47.99,437.946,1410.925,8.716,3088.768,20.371,1.089
MoonKnight2,6100287681b041b588c32be90d433c75,S24,42,Prospect,0.762,0.381,0.976,2.0,286.69,33.205,319.663,48.739,409.5,1441.184,7.389,3316.285,18.558,0.5
ReaperXD97,2e9941bf4ecd4c8592619a08be489c8f,S24,39,Prospect,0.872,0.692,1.231,2.103,348.949,38.841,300.565,47.5,412.308,1346.474,6.489,2968.985,20.654,0.487
Tonini08,Tonini08,S24,55,Prospect,0.964,0.527,1.236,2.727,371.218,33.015,258.317,51.664,388.8,1344.892,6.929,2688.513,21.568,0.945
Dino incarnate,50e1e947f8454947a638645f76252dfb,S24,48,Prospect,0.854,0.542,1.167,2.729,350.604,32.814,385.818,46.803,394.667,1472.517,12.469,3305.201,20.42,0.771
DrizzyJ,76561199007207030,S24,52,Prospect,1.346,0.865,1.365,3.558,457.25,34.186,377.152,50.161,440.173,1462.902,8.55,2912.554,22.087,0.404
MysticMax07,MysticMax07,S24,55,Prospect,0.782,0.345,1.182,2.855,342.382,28.559,291.86,51.604,389.182,1346.903,5.558,2788.15,18.964,0.2
Piky Life88,Piky Life88,S24,31,Prospect,0.613,0.419,0.774,2.194,268.129,27.351,243.183,50.868,442.29,1370.347,6.339,3336.001,21.282,1.226
