Player,sid,season,games,tier,goals,assists,saves,shots,score,shooting_pct,boost_per_min,avg_boost,boost_stolen,avg_speed,pct_supersonic,dist_to_ball,pct_offensive_third,demos_inflicted
BBlaazee.,32092911b60d4d9ea03e28d203746b96,S25,3,Challenger,1.333,0.667,1.333,3.667,423.0,36.364,419.122,50.229,715.667,1548.534,17.154,2494.481,22.367,1.0
Larkspur,76561198838606166,S25,3,Challenger,0.333,0.333,1.333,1.667,215.0,20.0,359.041,39.354,283.0,1411.099,6.679,2955.653,17.156,0.333
StoveMessiah,76561198050600661,S25,3,Challenger,0.333,1.333,1.667,2.333,369.333,14.286,317.329,48.584,381.0,1440.255,8.432,2888.775,16.579,0.0
TDogPlayz,652d57b634bd4273af81bcc6b464bc20,S25,3,Challenger,1.0,1.0,1.333,2.667,343.667,37.5,417.085,46.181,466.333,1492.214,10.999,2607.423,18.435,1.0
Witha ^~^,76561198213357401,S25,3,Challenger,1.0,1.667,1.667,3.0,442.667,33.333,357.677,49.681,219.667,1461.588,10.954,2795.966,17.321,1.0
dyl,76561198271126177,S25,3,Challenger,1.333,0.0,0.667,3.0,331.0,44.444,406.397,48.3,373.667,1550.406,13.733,2749.979,23.264,1.0
luckyraizz,9415bcbd5a54495a9049db548930ad97,S25,3,Challenger,1.667,1.0,0.667,3.0,440.0,55.556,402.223,49.716,583.333,1579.471,16.015,2842.43,20.719,2.0
xxDaddysHerexx,d497988ea80b407ebebe1820612a7ed5,S25,3,Challenger,1.333,0.333,1.0,2.333,360.667,57.143,354.523,53.292,406.333,1600.721,14.705,2955.882,18.022,0.667
0Kaiser0,5ecb4b5b0df24d60914974a69b40d943,S25,2,Rival,0.5,0.5,0.5,2.5,337.0,20.0,413.615,45.908,545.5,1513.441,9.541,2797.719,19.433,2.0
Charlemagne,76561198033910060,S25,2,Rival,1.0,0.5,0.5,4.0,378.0,25.0,294.727,40.575,252.0,1398.879,6.54,3050.532,20.003,1.5
Chung,76561198969042681,S25,2,Rival,0.0,1.5,2.0,1.5,364.5,0.0,323.673,41.673,509.0,1424.96,9.261,3026.957,19.341,1.5
Danub,76561198295399502,S25,3,Rival,1.0,2.0,2.0,2.667,525.333,37.5,376.444,49.801,619.667,1466.079,13.913,2921.144,17.945,0.667
Free.,76561198087225735,S25,3,Rival,1.667,0.333,1.0,3.333,469.333,50.0,411.071,50.31,906.333,1509.86,10.639,3085.959,23.673,1.0
Reeky,76561198805562340,S25,2,Rival,1.0,0.5,1.0,1.5,386.0,66.667,318.025,51.366,764.0,1508.928,8.78,3069.543,23.02,0.5
RiisenJT,RiisenJT,S25,2,Rival,1.0,0.5,0.5,2.5,331.5,40.0,392.85,47.157,177.0,1525.401,14.962,3039.304,18.518,1.0
SUPERDUPERBAM,76561198042980036,S25,2,Rival,1.5,0.5,0.5,5.0,461.5,30.0,372.576,57.366,973.0,1589.032,17.501,3179.667,24.594,1.5
Wheelchair {LFLegs},76561198079886436,S25,2,Rival,1.0,0.0,0.5,2.5,278.0,40.0,318.923,40.678,328.0,1442.746,11.394,3260.865,19.37,0.5
Zay,76561198390209163,S25,2,Rival,1.5,0.5,2.5,2.0,523.0,75.0,382.697,54.193,493.0,1557.479,12.811,2585.388,19.449,2.5
cozyboy,76561198838386678,S25,2,Rival,0.0,1.0,1.5,1.5,257.5,0.0,409.147,47.022,818.0,1691.094,24.986,3332.957,24.153,2.5
Bandido,76561198234118140,S25,3,Rival,0.333,0.0,1.0,2.0,242.667,16.667,297.937,51.964,390.0,1452.572,7.692,2940.232,20.015,0.333
Celiscy,d813ecb88d1b45549bfedb08f0c348c6,S25,4,Rival,2.0,1.0,1.25,2.5,556.5,80.0,357.7,59.133,532.0,1531.468,12.376,2934.039,22.817,0.75
ChilloutGames,ec681a6c3dce4331b168c647ca6ae808,S25,3,Rival,0.667,0.333,1.333,1.333,302.0,50.0,351.192,44.366,558.333,1544.017,13.021,2977.437,17.887,1.667
EyeSucka,01ab89f76d7040f89a994ed95a3bf421,S25,3,Rival,1.0,0.333,1.333,2.333,362.333,42.857,291.053,50.53,447.0,1479.138,8.809,2831.015,20.557,0.0
Jmh187-,45749f7a25ef4e35a8f093c1c9bf4871,S25,1,Rival,2.0,0.0,0.0,4.0,346.0,50.0,434.0,46.75,337.0,1521.0,9.792,3527.0,16.886,1.0
ObiWan_Can_O_Bee,f5fe39dae1b04d8db9881fd4b1380996,S25,1,Rival,2.0,0.0,2.0,3.0,503.0,66.667,455.0,48.5,755.0,1515.0,10.859,2988.0,21.087,0.0
Surge85,2c07a283e2c244af9be6fc5aa311c668,S25,3,Rival,0.333,0.333,0.667,3.667,234.0,9.091,307.546,58.643,638.333,1586.679,11.245,3083.488,24.118,0.333
hoyci,76561198890967354,S25,3,Rival,1.333,1.0,0.667,2.667,397.0,50.0,325.076,50.55,351.667,1418.049,8.696,2929.1,19.997,0.667
zayyaa.,f747722b1aae4cfa9bbc89fb73edd845,S25,3,Rival,0.0,0.333,0.667,1.333,147.333,0.0,440.58,42.129,507.333,1625.313,15.2,3225.452,19.579,2.0
JoeExotic,76561198140993771,S25,3,Rival,0.333,0.667,0.667,3.333,236.0,10.0,361.709,54.184,491.333,1522.987,11.586,3176.389,25.198,1.0
MagesticEagle1,76561198799710154,S25,3,Rival,0.333,0.667,1.0,1.667,264.667,20.0,365.407,51.904,549.667,1485.57,12.388,2863.86,24.426,2.333
MattViaAirwaves,76561198009621876,S25,3,Rival,0.667,0.0,1.667,2.0,365.667,33.333,348.361,49.159,566.667,1548.703,10.284,2878.02,26.99,0.333
Mezberry,76561198085509041,S25,3,Rival,0.667,0.333,2.0,2.0,381.333,33.333,412.362,45.315,495.0,1535.468,15.446,3025.736,22.731,0.333
SUP3RM00NS,76561198028276357,S25,3,Rival,1.333,0.333,1.0,2.333,327.667,57.143,343.572,42.788,400.667,1423.518,10.884,2783.059,17.66,0.667
YQa,cae111f1deef42f396b9f0fec6652054,S25,3,Rival,0.333,0.667,2.0,2.333,351.333,14.286,335.602,52.379,385.0,1441.041,10.031,2778.23,14.876,1.0
haileyset,3df15d3f99a646aba75cd2d3efa1d9e9,S25,3,Rival,1.0,0.667,1.333,3.0,385.667,33.333,441.666,47.533,381.667,1548.213,13.501,3057.677,16.454,1.667
iSuperiorAlpha,76561198386452220,S25,3,Rival,0.333,1.333,1.0,1.333,354.333,25.0,394.222,52.97,537.0,1515.464,10.524,2838.647,19.186,2.0
BillyGatez,76561198069348252,S25,8,Veteran,0.875,0.5,1.0,3.625,331.625,24.821,416.339,47.489,709.0,1591.209,14.809,2961.33,26.989,2.0
Goose,76561198070901578,S25,3,Veteran,0.0,0.333,0.0,0.333,103.333,0.0,338.258,46.127,566.667,1541.938,10.751,3230.059,19.175,1.667
Hyzer Flip Reset,76561198044091296,S25,3,Veteran,0.333,0.0,3.333,2.333,374.0,14.286,359.632,48.862,251.667,1535.528,12.237,2808.035,13.965,2.0
Jon.DPT,b316a1ca80204bca8bb6add3a8cd60d4,S25,1,Veteran,1.0,1.0,1.0,3.0,370.0,33.333,368.0,55.68,807.0,1444.0,8.426,2931.0,24.068,2.0
Pletheros,76561198082130700,S25,3,Veteran,0.333,0.333,1.667,1.0,311.667,33.333,367.28,52.181,383.667,1452.02,9.739,2852.084,21.705,1.667
ShyIsEepy,15c4298c620d4a0993ab73aded9dcd53,S25,1,Veteran,2.0,1.0,2.0,4.0,590.0,50.0,387.0,47.86,483.0,1564.0,13.05,2921.0,21.289,0.0
Slm,76561198821775220,S25,1,Veteran,1.0,2.0,0.0,4.0,380.0,25.0,303.0,47.65,824.0,1494.0,10.606,3160.0,27.713,0.0
Stone-Dog Millionaire,76561198338219941,S25,7,Veteran,0.286,0.714,0.714,1.714,223.143,20.0,375.058,46.256,569.143,1510.43,9.887,3116.836,21.814,0.857
TheDarkHero77,200c3a6216954623bd5fea4af9dd6fba,S25,7,Veteran,1.143,0.143,0.571,3.429,350.857,28.571,435.781,51.11,595.429,1532.888,12.498,2802.833,27.413,0.714
AngryPoptart_RL,0f26eb45466f420ca1d575a91d9891bd,S25,5,Veteran,0.8,0.4,0.8,3.0,331.2,26.667,449.715,51.211,574.4,1565.877,16.942,3041.34,30.028,1.0
Ziffy,76561198821924246,S25,9,Veteran,0.556,0.556,1.0,3.222,304.0,11.905,405.67,46.617,620.778,1526.853,10.989,3014.513,25.202,0.778
Crimson,76561198218187185,S25,2,Veteran,0.5,0.5,0.5,2.5,263.0,20.0,388.504,45.806,369.0,1538.495,12.424,3120.046,23.749,0.5
Dunnie14,76561198170157943,S25,2,Veteran,1.0,0.5,2.5,2.0,469.5,50.0,304.024,44.935,310.0,1391.742,9.579,2754.055,17.846,0.0
Flame_RL10,ccf158f6d35d47f0adc11ecc121888df,S25,4,Veteran,1.0,0.5,1.5,3.0,445.0,33.333,432.713,49.078,581.75,1569.322,15.19,2648.922,22.854,0.75
M0NKEE .,312b72068a154fc5b8c8139581403217,S25,3,Veteran,1.0,0.667,1.667,2.667,436.0,37.5,394.606,48.572,675.667,1509.178,13.842,2782.761,22.599,2.667
Murleaux,f1d4d0472e184dc3892bb9e73f777926,S25,4,Veteran,0.25,0.5,1.0,1.5,260.0,16.667,429.021,49.003,436.5,1550.189,13.234,2996.843,20.593,0.75
Squatch70,b38179ef74104605bd2533a3be8274fb,S25,3,Veteran,1.0,1.0,1.333,1.333,337.667,75.0,420.552,48.781,486.333,1570.142,15.076,3085.826,18.536,1.667
belly rubber 10,76561198050088903,S25,3,Veteran,0.333,0.333,0.333,3.333,247.333,10.0,384.907,47.259,528.333,1493.653,11.427,2650.104,22.337,1.667
xmanyaknow,d6abf3fdad0b44bd80e582958ab8d437,S25,3,Veteran,0.667,0.667,2.0,3.667,388.667,18.182,398.217,47.206,558.667,1456.465,9.735,3041.76,20.068,0.333
Blaiyzur,cdf477d33e5f48beaec48f30b596b031,S25,9,Veteran,1.0,1.0,1.556,1.778,391.889,52.143,363.078,45.784,315.333,1515.533,13.947,3246.753,16.403,1.111
Cognitixn,b7fc223789fa45a69ee92ef9d6701243,S25,2,Veteran,1.5,0.0,2.0,4.5,471.5,33.333,383.037,52.473,438.5,1497.071,11.782,3080.213,22.224,1.5
Drupenson,76561198142265161,S25,2,Veteran,1.5,1.5,0.5,2.5,396.0,60.0,376.955,47.768,761.0,1516.246,12.609,2986.041,22.3,2.0
JeiWoo,76561198257278163,S25,2,Veteran,0.5,0.5,2.0,2.0,326.5,25.0,344.207,44.142,615.0,1376.519,7.482,3036.932,22.205,0.0
